"sentence.id";"sentence";"Is there a question";"Question";"Correct answer";"Incorrect answer 1";"Incorrect answer 2"
1;"На болотах оставался ещё лёд, но на берегах реки появилась трава.";0;0;0;0;0
2;"Он ловко поддел концом ножа замочки, и они отскочили.";0;0;0;0;0
3;"Ваня раскрыл было рот, но понял, что что-то не так, и промолчал.";0;0;0;0;0
4;"Сделав мне знак помолчать, он приложил ухо к двери.";0;0;0;0;0
5;"Я сделала шаг навстречу: приехала к ней, попросив выслушать меня.";0;0;0;0;0
6;"Дорога ведет в глухой лес, петляя по склонам.";1;"Куда ведет дорога? ";"В лес";"В город";"В деревню"
7;"Не поручайте мужу ухаживать за рыбками в аквариуме, он обязательно забудет.";1;"Кому нельзя доверять уход за рыбками?";"Мужу";"Ребенку";"Соседу"
8;"Выходя замуж, ты надеялась обрести спокойствие, уютный дом, крепкую семью.";0;0;0;0;0
9;"И не надо ставить это целью всей своей жизни.";0;0;0;0;0
10;"У нас в Волгограде многие придерживаются иной точки зрения.";0;0;0;0;0
11;"Очень тогда злые попадались люди.";0;0;0;0;0
12;"На привале у озера юный турист вручил товарищам ведро и кувшин.";1;"Где вручил турист товарищам ведро и кувшин?";"У озера";"У берега";"В лесу"
13;"Наживка, на которую он ловил рыбу, быстро закончилась.";0;0;0;0;0
14;"Мне было лень идти на стоянку и сметать снег с машины.";0;0;0;0;0
15;"Город, раскинувшийся вдоль реки, состоял из двух частей.";1;"Где раскинулся город?";"Вдоль реки";"Вдоль океана";"Вдоль залива"
16;"В каждом углу комнаты сидели по две кошки.";1;"Где сидели кошки?";"В углу";"В комнате";"В квартире"
17;"Здесь потребуется врач, который будет лечить заболевших в экспедиции?";0;0;0;0;0
18;"У моего отца был счёт в швейцарском банке, он был лесоторговец!";0;0;0;0;0
19;"Количество денег в обороте выросло благодаря союзу с американским банком.";1;"Благодаря кому выросло количество денег?";"Союзу с американским банком";"Союзу с американскими партнерами";"Союзу с американскими поставщиками"
20;"Возможности этих перемен будут обсуждаться в Париже летом будущего года.";1;"Когда будут обсуждаться возможности перемен?";"Летом";"Весной";"Осенью"
21;"Применение микросхемы даст возможность уменьшить вес бытовой электроники.";0;0;0;0;0
22;"Однако здесь есть и свои актуальные проблемы.";0;0;0;0;0
23;"Если мы позволим этим людям уйти, наши проекты станут гораздо беднее.";0;0;0;0;0
24;"Он признаёт право каждого жить так, как ему удобно.";0;0;0;0;0
25;"Власть судов была такой узкой, что они ничего не решали.";1;"Какая власть была узкой?";"Власть судов";"Власть депутатов";"Власть министров"
26;"Тема эта в то время была новой для многих.";0;0;0;0;0
27;"Каждое утро на самый верх крыши МГУ поднимается симпатичная научная сотрудница.";0;0;0;0;0
28;"Музыканты играли на похоронах, разгружали вагоны, жили бедно.";1;"Где играли музыканты?";"На похоронах";"На свадьбах";"На праздниках"
29;"Зоопарк ― это кусочек другого мира, находящийся в самом центре нашего района.";0;0;0;0;0
30;"Взяв с собой фотоаппарат, вся семья поехала в парк на пикник.";1;"Куда поехала семья на пикник?";"В парк";"В лес";"В сад"
31;"Телята быстро росли, превращаясь в ласковых коров.";0;0;0;0;0
32;"Он стал плохо спать, капризничать в детском саду.";0;0;0;0;0
33;"Чтобы придать объем тонким волосам, нанесите на них лечебную маску.";0;0;0;0;0
34;"У тебя впереди замечательный день, полный приятных событий.";0;0;0;0;0
35;"Мама брала меня с собой, и мы, сдав молоко, ехали гулять.";0;0;0;0;0
36;"От смерти его спасла собака, приносившая ему еду.";0;0;0;0;0
37;"Судя по огромному расходу воды, они купали слонов.";0;0;0;0;0
38;"Тому, кто желает невозможного, объяснят: ""Близок локоть, да не укусишь"".";0;0;0;0;0
39;"Когда она в самолёте летела домой, читать не было сил.";0;0;0;0;0
40;"Володя каким-то образом узнал то, чего ему не надо было знать.";1;"Кто узнал то, чего не надо было знать?";"Володя";"Вася";"Влад"
41;"Перед ним снова была прежняя Маша, которую он знал и любил.";0;0;0;0;0
42;"Мне нравится сын коллеги, который недавно заходил в наш отдел.";0;0;0;0;0
43;"У мамы есть подруга, которая живёт прямо напротив здания театра.";1;"Кто живет напротив театра?";"Мамина подруга";"Мамина сестра";"Мамина коллега"
44;"Душа требовала красоты, и Николай Фомин украсил свой дом резьбой.";0;0;0;0;0
45;"За углом ― Морской музей, с бесчисленными моделями кораблей, старинных и современных.";1;"Где находится Морской музей?";"За углом";"Близ города";"Возле дома"
46;"Причиной аварии был мобильный телефон, который отвлекал водителя от дороги.";1;"Что было причиной аварии";"Мобильный телефон";"Невнимательность";"Скорость"
47;"Можно будет бросить дополнительные занятия, и даже школу можно бросить.";0;0;0;0;0
48;"Какие главные лекарства должны входить в аптечку автомобилиста?";0;0;0;0;0
49;"На газовой плите стояла открытая кастрюля с кипящей водой.";1;"Что было на газовой плите?";"Кастрюля";"Сковородка";"Чайник"
50;"Автор принадлежит к числу последних свидетелей страшных событий прошлого века.";0;0;0;0;0
51;"На узкой лестнице сосед попросил нас говорить тише.";1;"Где находился сосед?";"На лестнице";"На площадке";"На улице"
52;"Этот роман захватывает читателя с первой страницы и держит до последней.";1;"Что захватывает читателей?";"Роман";"Книга";"Повесть"
53;"В вопросе послышался упрёк командиру, словно он был виновником происшедшего.";1;"Кому был упрёк?";"Командиру";"Бригадиру";"Руководителю"
54;"В современном обществе семья и школа оказывают большое влияние на подростков.";0;0;0;0;0
55;"Этот студент получает только отличные оценки с самого первого семестра.";1;"Какие оценки получает студент?";"Отличные";"Плохие";"Неплохие"
56;"В числе возможных кандидатов называют депутата от партии правых.";0;0;0;0;0
57;"Зачем ему звонить, если откликается спокойный женский голос?";0;0;0;0;0
58;"Ирине досталась отдельная комната в двухкомнатной квартире.";1;"Кому досталась комната в двухкомнатной квартире?";"Ирине";"Марине";"Арине"
59;"В тот момент атмосфера наших посиделок внезапно сильно изменилась.";0;0;0;0;0
60;"Товарищ генерал, противник пробрался на наш командный пункт!";0;0;0;0;0
61;"Шею Лизы украшало ожерелье стоимостью в 15 тысяч долларов.";1;"Что украшало шею Лизы?";"Ожерелье";"Кулон";"Колье"
62;"На Ольгу Васильевну было написано заявление в полицию.";0;0;0;0;0
63;"Что ты хочешь чтобы тебе повторили, вопрос или ответ?";0;0;0;0;0
64;"Но четыре года я не мог себя заставить сделать это.";0;0;0;0;0
65;"Педагог предъявляет одинаковые требования ко всем.";0;0;0;0;0
66;"Они не ели целый день, несчастные дети, и были очень голодны.";0;0;0;0;0
67;"На массаже тело расслабляется и исчезает напряжение в мышцах.";0;0;0;0;0
68;"Стала стабильнее экономическая и политическая обстановка, люди расслабились.";0;0;0;0;0
69;"Работы выполняет специалист от исполнителя, имеющий высокую квалификацию.";0;0;0;0;0
70;"Во избежание ожогов надо нанести на лицо небольшое количество защитного крема.";1;"Куда наносится крем от ожогов?";"На лицо";"На руки";"На спину"
71;"Государством предлагается установить ограничение на скорость движения.";1;"На что государство предлагает установить ограничения";"Скорость движения";"Продажа алкоголя";"Использование оружия"
72;"В конверте вместе с деньгами была обнаружена записка с угрозами.";1;"Что было вместе с запиской?";"Деньги";"Фотография";"Приглашение"
73;"Что используют для этой прически, фен или ещё что?";0;0;0;0;0
74;"Там, недалеко от кухонной двери, сидел лис с треугольной мордой.";1;"Где сидел лис?";"У кухонной двери";"У кухни";"В углу"
75;"Что может сделать самый сильный вол, если он впряжен в сломанную повозку?";0;0;0;0;0
76;"У директора школы был тонкий нюх на талантливых педагогов.";0;0;0;0;0
77;"Он умел из любого сора извлекать информацию.";0;0;0;0;0
78;"В темноте Иван задел острый сук и чуть не порвал рукав.";1;"Когда Иван задел острык сук?";"В темноте";"Ночью";"Вечером"
79;"В сюжете этого фильма какие-то осы устраивают себе гнёзда в дереве.";1;"Кто устраивал себе гнёзда?";"Осы";"Птицы";"Белки"
80;"В багажнике были лопата, лом и грабли.";1;"Что было в багажнике помимо лопаты и граблей?";"Лом";"Бита";"Бур"
81;"Существует легенда, что Ноев ковчег вынесло на вершину этой горы.";0;0;0;0;0
82;"Покуда я нахожусь у власти, я буду предметом ярых нападок соперников.";0;0;0;0;0
83;"Ей хотелось выплеснуть чай на бежевый Юлин пиджак, но она сдерживалась.";1;"Какого цвета Юлин пиджак?";"Бежевый";"Белый";"Бирюзовый"
84;"Выбирая вязаную шапочку, знайте, что лучше шапка цвета хаки из шерсти.";1;"Из чего должна быть лучшая шапка";"Из шерсти";"Из хлопка";"Из шелка"
85;"На филологическогом факультете студенты заметят явный крен в сторону педагогики.";1;"На каком факультете учатся студенты?";"Филологическом";"Философском";"Педагогическом"
86;"Думаю, большой урон здоровью такие вечеринки не наносят.";0;0;0;0;0
87;"На запись голоса барса я наткнулся совершенно случайно.";1;"Чей голос был записан?";"Барса";"Леопарда";"Пантеры"
88;"Очень хочется заплести бант в косу и надеть красивое платье.";0;0;0;0;0
89;"За два года накопилась уйма вопросов, на которые надо было ответить.";0;0;0;0;0
90;"Врач прописал заживляющую мазь для обработки раны.";1;"Что прописал врач?";"Мазь";"Крем";"Гель"
91;"Она успевала убраться, разморозить фарш и приготовить ужин всем нам.";1;"Что она успела приготовить?";"Ужин";"Завтрак";"Обед"
92;"Я слезал, щупал стога, чтобы узнать, сухие ли.";0;0;0;0;0
93;"В деревнях по-прежнему мяли лен, дороги оставались непроезжими.";0;0;0;0;0
94;"Не обнаружив ничего в досье, сыщики решили рыть в другом направлении.";0;0;0;0;0
95;"Дрозды и сковрцы начали вить семейные гнёзда неподалеку друг от друга.";1;"Рядом с кем вьют гнёзда скворцы?";"С дроздами";"С сороками";"С жаворонками"
96;"Собаку, виновницу случившегося, приказали сечь, хотя в чем была ее вина?";0;0;0;0;0
97;"С нескрываемой едкой иронией отзываются они друг о друге.";0;0;0;0;0
98;"Олень бродил среди берёз, жевал талый снег и поглядывал за реку.";1;"Какие деревья окружали оленя";"Берёзы";"Сосны";"Ели"
99;"Приблизительно в центре тайги мопед упал в сугроб и сломался.";1;"Где упал мопед?";"В тайге";"В лесу";"на дороге"
100;"Убедительно просим вас разборчиво заполнять купон, желательно печатными буквами.";0;0;0;0;0
101;"За министром труда тянется целый шлейф финансовых скандалов.";1;"Кто является причиной финансовых скандалов?";"Министр труда";"Министр финансов";"Министр образования"
102;"А промывать манную крупу перед тем, как варить ее, не пробовали?";1;"Что нужно промывать?";"Манную крупу";"Пшеничную крупу";"Гречневую крупу"
103;"Я сказал, что русский солдат омоет сапоги в Индийском океане.";0;0;0;0;0
104;"Я знал: их особенно злило то, что я никуда не бежал.";0;0;0;0;0
105;"Приготовь себе диетические овощные блюда, сытные и восхитительные на вкус.";0;0;0;0;0
106;"Создать настоящие шедевры вам помогут зоркий глаз, терпение и упорство.";0;0;0;0;0
107;"Ему удалось вскрыть банку об острый край бампера своего автомобиля.";0;0;0;0;0
108;"По воскресеньям музыканты, исполнявшие сонату, собирались в клубе.";1;"Когда музыканты исполняли сонату?";"По воскресеньям";"По субботам";"По выходным"
109;"Существуют такие микробы, которые могут жить при температуре выше ста градусов.";0;0;0;0;0
110;"Мы установили камеру на новый штатив и приступили к съемкам.";0;0;0;0;0
111;"Елена сидела в кресле, молодая Мурка урчала у неё на коленях.";1;"Где сидела Елена?";"В кресле";"На диване";"На кровати"
112;"Ей никак не суметь испечь такой торт самой.";0;0;0;0;0
113;"В речи учёного прозвучало неявное сопоставление с другим, знаменитым, физиком.";0;0;0;0;0
114;"Я люблю салат из картошки с зеленью, заправленный пахучим подсолнечным маслом.";1;"С чем был салат?";"Картошка и зелень";"Картошка и грибы";"Картошка и мясо"
115;"Если я еще увижу здесь хоть соринку, я тебе уши оторву.";0;0;0;0;0
116;"И на берегу озера тогда появляются русалки и ведьмы.";0;0;0;0;0
117;"Под рукавом рубашки виднелся тонкий ремешок мужских часов.";1;"Где виднелся ремешок часов";"Под рубашкой";"Под свитером";"Под пиджаком"
118;"На вторичном рынке жилья розетки заклеивают обоями во время ремонта.";0;0;0;0;0
119;"Она с досадой хмурила брови, оглядываясь на дом.";0;0;0;0;0
120;"В лесу ветром трепало сухие стебли растений, почерневшие от летнего солнца.";1;"Что почернело от летнего солнца";"Стебли растений";"Стебли деревьев";"Стебли кустарников"
121;"Старый шкаф орехового дерева был явно не отсюда.";1;"Что был из орехового дерева?";"Шкаф";"Кровать";"Стол"
122;"Старуха была страшной -- лопоухая и с гнилыми зубами.";0;0;0;0;0
123;"В качестве примера приводится жирность куриного бульона.";0;0;0;0;0
124;"Когда мне хотелось сгущенки, папа мне ее привозил, стоило только позвонить.";0;0;0;0;0
125;"Вспоминая журчание водяных струй, мы непременно подумаем о фонтанах.";0;0;0;0;0
126;"В котёл бросают куски баранины, специи, травы.";1;"Какое мясо бросают в котёл?";"Баранину";"Говядину";"Свинину"
127;"У Пашки обгорели ресницы и щеки, ходит, намазанный кремом от ожогов.";1;"Что обгорело у Пашки?";"Ресницы и щеки";"Лицо и щеки";"Брови и щеки"
128;"Он вскрыл пачку сухарей, заварил чай, достал чашки и ложки.";0;0;0;0;0
129;"Ее сын Гриша умер бездетным, и младший сын остался единственным наследником.";1;"Кто умер бездетным?";"Гриша";"Гоша";"Гена"
130;"Он был очень неопытным дипломаnом и большим мечтателем.";0;0;0;0;0
131;"В мои обязанности входило утром включить рубильник в подвале.";0;0;0;0;0
132;"После завершения техосмотра эксперты называют цену, по которой можно забрать автомобиль.";0;0;0;0;0
133;"Прибывшие в Австралию миссионеры расспрашивали жителей про пещеру у океана.";1;"Куда прибыли миссионеры?";"в Австралию";"в Австрию";"в Армению"
134;"Отвернув цветастое покрывало, она осторожно присела на край своей кровати.";0;0;0;0;0
135;"Она почти не изменилась, только слегка пополнела и появились первые морщинки.";0;0;0;0;0
136;"Журналист взял карандаш, подвинул к себе чистый лист и написал цифру.";0;0;0;0;0
137;"Считается, что коллекционирование раритетных машин ― занятие для звезд шоу-бизнеса.";0;0;0;0;0
138;"Торговля продуктами питания является одной из самых прибыльных отраслей в России.";0;0;0;0;0
139;"Клиенты воровали из ресторана атрибутику ― скульптурки, кувшинчики, шкатулки.";1;"Откуда воровали атрибутику?";"Из ресторана";"Из кафе";"Из музея"
140;"Один футболист, который получил растяжение, не участовал в игре.";1;"Из-за чего футболист не участвовал в игре?";"Растяжение";"Повреждение";"Воспаление"
141;"Наши власти позволяют себе излишества, создавая иллюзию благополучного общества.";0;0;0;0;0
142;"Ненужный коврик из твёрдой пластмассы пригодится как подставка для посуды.";0;0;0;0;0
143;"Когда родители пригрозили не взять её с собой, Маша очень расстроилась.";0;0;0;0;0
144;"От внимания наблюдателя не должна ускользать даже малейшая деталь.";0;0;0;0;0
